#C.D.S.  -  SIMBAD4 rel 1.7  -  2020.11.23EST20:49:13#
#
#Vmag < 3 & Vmag > 1
#-------------------
#
#Number of objects : 178
#
# # |       identifier        |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
#---|-------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
145|* alf Hyi                |PM*|01 58 46.1946699 -61 34 11.494778      | 3.33 | 3.13 | 2.84 | 2.55 | 2.39 |F0IV           | 204|   0
146|* bet Car                |PM*|09 13 11.97746 -69 43 01.9473          | 1.72 | 1.69 | 1.69 | 1.63 | 1.61 |A1III-         | 212|   0
147|* tet Car                |SB*|10 42 57.4019674 -64 23 40.020796      | 1.53 | 2.54 | 2.76 | 2.87 | 3.10 |B0Vp           | 314|   0
148|NAME SMC                 |G  |00 52 38.0 -72 48 01                   |     ~| 2.79 | 2.2  |     ~|     ~|~              |9564|   1
149|* bet Hyi                |PM*|00 25 45.07036 -77 15 15.2860          | 3.52 | 3.41 | 2.79 | 2.28 | 1.94 |G0V            | 552|   0
150|* del Cen                |Be*|12 08 21.4976373 -50 43 20.738614      | 1.51 | 2.39 | 2.52 | 2.48 | 2.62 |B2Vne          | 293|   0
151|* del Cru                |Pu*|12 15 08.7167245 -58 44 56.136936      | 1.63 | 2.568| 2.752|     ~|     ~|B2IV           | 194|   1
152|* gam Cru                |PM*|12 31 09.95961 -57 06 47.5684          | 5.01 | 3.23 | 1.64 |-0.02 |-1.44 |M3.5III        | 264|   0
153|* alf Mus                |** |12 37 11.0178886 -69 08 08.033239      | 1.62 | 2.484| 2.649|     ~|     ~|B2IV           | 141|   0
154|* bet Cru                |bC*|12 47 43.26877 -59 41 19.5792          | 0.03 | 1.02 | 1.25 | 1.38 | 1.64 |B1IV           | 324|   0
155|* gam Cen                |** |12 41 31.04008 -48 57 35.5375          | 2.15 | 2.16 | 2.17 | 2.14 | 2.14 |A1IV+A0IV      | 118|   1
156|* alf Tuc                |SB*|22 18 30.0947834 -60 15 34.526307      | 5.75 | 4.18 | 2.82 | 1.76 | 1.02 |K3III          | 122|   0
157|* gam TrA                |PM*|15 18 54.5819834 -68 40 46.365362      | 2.87 | 2.89 | 2.89 |     ~|     ~|A1V            | 121|   0
158|* eps Cen                |bC*|13 39 53.25774 -53 27 59.0081          | 1.16 | 2.08 | 2.30 | 2.45 | 2.70 |B1III          | 239|   0
159|* bet Gru                |LP?|22 42 40.05027 -46 53 04.4752          | 5.33 | 3.73 | 2.11 | 0.20 |-1.57 |M4.5III        | 194|   0
160|* alf Cen B              |PM*|14 39 35.06311 -60 50 15.0992          | 2.89 | 2.21 | 1.33 |     ~|     ~|K1V            | 902|   1
161|* alf TrA                |*  |16 48 39.89508 -69 01 39.7626          |     ~| 3.36 | 1.92 |     ~|     ~|K2III_Ba1      | 229|   0
162|* zet Cen                |SB*|13 55 32.38565 -47 17 18.1482          | 1.42 | 2.33 | 2.55 | 2.69 | 2.89 |B2.5IV         | 164|   0
163|* bet TrA                |PM*|15 55 08.5620636 -63 25 50.615531      | 3.19 | 3.14 | 2.85 | 2.53 | 2.38 |F1V            | 148|   0
164|* alf Gru                |PM*|22 08 13.98473 -46 57 39.5078          | 1.11 | 1.58 | 1.71 | 1.75 | 1.83 |B6V            | 289|   0
165|* alf Pav                |SB*|20 25 38.85705 -56 44 06.3230          | 1.03 | 1.791| 1.918|     ~|     ~|B2IV           | 273|   0
166|* alf Lup                |bC*|14 41 55.7557866 -47 23 17.515486      | 1.22 | 2.126| 2.286|     ~|     ~|B1.5III        | 225|   0
167|* eta Cen                |Be*|14 35 30.4241610 -42 09 28.170782      | 1.30 | 2.12 | 2.31 | 2.41 | 2.59 |B2Ve           | 323|   0
168|* bet Ara                |*  |17 25 17.9883527 -55 31 47.586765      | 5.87 | 4.31 | 2.85 |     ~|     ~|K0/1Ib         | 115|   0
169|* bet Lup                |PM*|14 58 31.92536 -43 08 02.2699          | 1.59 | 2.46 | 2.68 | 2.78 | 2.95 |B2III          | 177|   0
